VideoID,Title,URL,Problem,Solution,Topics,Subtopics,ViewCount,LikeCount
sXJrB9VswhY,5 tips on how to get the perfect electrical rough-in! #frenchtouchconstruction #construction,https://www.youtube.com/watch?v=sXJrB9VswhY,"Rough-in electrical issues causing misaligned or improperly placed boxes, backsplash/tile conflicts, difficult tie-ins, and unidentified wires leading to confusion at walkthroughs.",Follow five rough-in tips: leave a wire loop before entering the box for adjustable placement; recess any steel plates where tile backsplash will be installed; use adjustable boxes for back tie-ins; align all boxes with a laser for consistent placement with tile; and clearly identify/label wires in each box for the customer walkthrough.,"Wiring (40%), Planning (25%), Tools (20%), Education (15%)","Box placement and wire loops (30%), Backsplash/tile coordination (20%), Adjustable boxes and tie-in technique (15%), Laser alignment and layout tools (15%), Wire identification and labeling (20%)",87680.0,2420.0
sh5M9pkMwf8,How To Install Electrical Boxes Into Concrete Walls !! Simple Techniques (DIY),https://www.youtube.com/watch?v=sh5M9pkMwf8,"Accurately installing and securing multiple in‑line electrical boxes so they stay aligned and free of debris during rendering, while saving time.","Use a straight board clamped/placed across the box cutouts to hold the boxes firmly and in alignment during installation, and stuff each box with paper to prevent mortar/debris entering the conduits during rendering.","Tools (30%), Planning (30%), Safety (20%), Education (20%)","Tool usage / board jig (30%), Box alignment & installation technique (30%), Site protection / debris prevention (20%), Tutorial / technique demonstration (20%)",61708.0,642.0
jiqF2pzCli0,Electrical Techniques,https://www.youtube.com/watch?v=jiqF2pzCli0,"The speaker lacked direct hands‑on electrical trade experience and needed a foundational, practical program to prepare for an apprenticeship and entry into electrician work.","Enrolled in the Electrical Techniques program at St. Clair College, which teaches fundamentals (conductors, wire sizes, junction boxes), hands‑on wiring and circuit building, use of tools and testers (multimeter), component identification, and provides certification and apprenticeship readiness.","Education (45%), Wiring (25%), Tools (20%), Planning (10%)","Curriculum / Fundamentals (45%), Circuit wiring & installation (25%), Hand tools & test equipment (20%), Career path & apprenticeship readiness (10%)",29452.0,117.0
gDl0Ouq_p0E,Dan talks about the Electrician – Construction and Maintenance Apprenticeship Program,https://www.youtube.com/watch?v=gDl0Ouq_p0E,"The speaker struggled in traditional high school due to a lack of hands-on, relevant learning and needed a practical pathway to a stable, skilled career in electrical work.","Entered an electrical apprenticeship combined with trade school (Conestoga) to learn on the job and in classroom courses directly tied to daily work, gaining wiring experience, job satisfaction, and a pathway toward becoming a teacher/trainer.","Education (65%), Planning (15%), Wiring (20%)","Apprenticeship & Trade School Training (50%), Hands-on Residential Wiring & Finishing (20%), Career Planning & Apprenticeship Pathway (15%), Instructor/Trainer Aspirations (15%)",733.0,2.0
xaEM5m_Xqjk,wall cutting style | electrical underground pipe fitting work #electricalelectricianwireman,https://www.youtube.com/watch?v=xaEM5m_Xqjk,"The transcript contains only non-technical audio cues (""[Music]"" and ""thank you"") and does not state any electrical engineering problem.","No technical solution possible due to lack of information; request a fuller, content-bearing transcript or audio for analysis.",Undefined (100%),No technical content / Non-technical audio (100%),7547831.0,135931.0
AEAMolwoGwg,"How to Trim Out Electrical on New Construction | Building A $350,000 Custom House | Episode 47",https://www.youtube.com/watch?v=AEAMolwoGwg,"Complete the electrical trim-out and service connection so the house has powered lighting, outlets (including USB and a 220V EV provision), HVAC temp power, proper grounding, and is ready for final finish work and move-in.","Electricians arrived and performed the trim-out—installed can lights, fans, switches and outlets (including USB/USB‑C), mounted fixtures, set and grounded the exterior meter/panel, connected the utility service cable dropped into the trench for temporary power, and prepared all terminations for final caps/inspection.","Wiring (55%), Technology (15%), Tools (10%), Planning (10%), Codes & Regulations (10%)","Lighting & trim-out (can lights, fixtures, fans) (30%), Service feed & panel/meter installation (utility drop, breaker, temporary power) (25%), Grounding & electrical safety (ground rod, bonding) (10%), EV/220V provision (garage 220V run) (8%), USB/Smart receptacles (USB-A/USB-C outlets) (7%), Trenching & excavation (mini excavator, service trench) (7%), Outlet/switch placement & cable routing (locations, laser alignment) (8%), Final trim/inspection prep & coordination (caps, paint coordination) (5%)",20431.0,517.0
LdNuJksviTY,Installing wires in electrical panel. #electrician #construction #trades,https://www.youtube.com/watch?v=LdNuJksviTY,"The transcript contains no substantive technical content—only the token ""foreign"" and a music cue—so no engineering problem is presented.","No solution can be identified from the provided audio text. Request a fuller, detailed transcript or clearer audio to extract problem and solution.",Undefined (100%),Insufficient content / No extractable technical content (100%),2302672.0,39477.0
5HLFjjZ_Bp0,Modern Construction Technology: The Future of Building ▶7,https://www.youtube.com/watch?v=5HLFjjZ_Bp0,"The transcript contains only non-informative filler (repeated ""foreign"", ""[Music]"", ""thank you"", and applause) and provides no technical or engineering content to analyze.","Unable to extract engineering problem or solution from the provided transcript; recommend supplying a clear, content-rich transcript or original audio for re-transcription so meaningful analysis can be performed.",Undefined (100%),Insufficient / Non-technical content (100%),1659035.0,6850.0
HE-zuWGkssU,How To Freeze Electric Gates #electrician #electrical #construction #diy #repair,https://www.youtube.com/watch?v=HE-zuWGkssU,"The gate's safety sensor is preventing normal operation because it detects an obstruction, so the user needs a way to temporarily bypass that detection to operate the gate.","Place a piece of tape/sticker over the sensor to make it register an obstruction (fooling the sensor), operate the gate, then remove the tape when finished.","Safety (70%), Tools (30%)","Sensor bypass / safety override (70%), Improvised temporary fix (use of tape) (30%)",7666.0,58.0
hf4zpz9z7hs,Can men do basic electrical repairs at home by themselves?#construction #electrician,https://www.youtube.com/watch?v=hf4zpz9z7hs,"Confusion about US journeyman electrician hour requirements and whether untrained homeowners can legally or safely perform basic electrical repairs (adding an outlet, fixing wiring) or must hire a licensed electrician.",Explain that training/licensing requirements vary by state — apprenticeships typically require several thousand on-the-job hours plus classroom instruction — and that local codes/permit rules determine whether homeowners may do minor repairs; emphasize safety risks and recommend checking local regulations and hiring a licensed electrician for permitted or complex work.,"Codes & Regulations (40%), Education (35%), Wiring (15%), Safety (10%)","Local Code Compliance / Permits / NEC (40%), Licensing & Apprenticeship Requirements (35%), Home Wiring Basics (15%), Electrical Safety & Risk (10%)",1322886.0,18256.0
zeL_0NUboZ8,How to Draw an Electrical Plan With RoomSketcher,https://www.youtube.com/watch?v=zeL_0NUboZ8,Users need an easy way to create accurate electrical plans (wiring diagrams) but may not know the workflow or tools to draft them.,"Use the RoomSketcher app — order or upload a floor plan or draw one from scratch (walls, doors, windows, fixed installations), then drag-and-drop electrical symbols (outlets, switches, fixtures), customize size/placement/orientation and add labels/notes to produce a complete 2D electrical plan.","Education (35%), Technology (30%), Planning (20%), Tools (15%)","Electrical drafting/workflow (35%), Software usage/tutorial (30%), Floor plan layout (20%), Symbols, placement & labeling (15%)",179577.0,935.0
7n_ebDw5thE,Electrical Panel Or Artwork? #tutorial,https://www.youtube.com/watch?v=7n_ebDw5thE,"Whether investing extra time and effort into meticulous, visible electrical finish work that will only be seen by the electrician or inspector is worth the cost and time.","Evaluate the job purpose and audience: if work is only for inspection, focus on meeting code efficiently; if workmanship will be client-facing or reflects professional pride, allocate time for higher-quality finishes — balance hourly cost, efficiency, and expectations.","Planning (60%), Codes & Regulations (40%)","Workmanship vs. Efficiency (35%), Cost/Time Management (25%), Inspection Compliance (30%), Aesthetics vs. Code (10%)",3703863.0,93079.0
g0wLPO54N3E,Powering a 120v pool follow for tips and tricks #electrician #electrical #construction #america,https://www.youtube.com/watch?v=g0wLPO54N3E,"A homeowner mentions their nephew did the electrical work and that his house burned down two years ago, implying a possible unsafe DIY electrical job that may have caused a residential fire.",No solution is provided in the transcript; the issue remains unresolved (would require fire investigation and licensed electrical inspection/repairs).,"Safety (60%), Wiring (40%)","Residential electrical fire (60%), DIY electrical work (40%)",11557.0,166.0
qDBX5r8w_Hk,Industry Fast Track: Electrical Construction Technology,https://www.youtube.com/watch?v=qDBX5r8w_Hk,Providing effective vocational electrical training for a diverse group of students while connecting them to high-demand job opportunities and making program information accessible.,"Hands-on residential wiring instruction (panel wiring, thermostat/baseboard wiring, making pigtails) combined with practical tool skills training and active career-services outreach using the Edio platform to guide enrollment and job placement.","Education (45%), Wiring (30%), Planning (15%), Tools (10%)","Vocational hands-on training (30%), Job placement / career services (15%), Residential panel wiring (18%), Thermostat/baseboard wiring & pigtails (12%), Power tools and practical skills (10%), Outreach / enrollment steps via Edio (15%)",543.0,3.0
7rtP7_TM6io,Electrical Contractors: Things You Need to Know,https://www.youtube.com/watch?v=7rtP7_TM6io,"How to successfully start and run a small electrical contracting business while avoiding cashflow problems, bad hires, scope creep, poor marketing, and reputational issues.","Practical business guidance: start working solo until you understand cashflow, keep a $10k minimum balance as a buffer, save several months of payroll before hiring, hire journeymen before apprentices, pick and stick to a niche, avoid jobs beyond your expertise (bring specialists when needed), use digital tools/CRM and review management for operations and marketing, charge premium for specialized work, and treat customers professionally to build referrals and reviews.","Planning (50%), Technology (25%), Education (15%), Codes & Regulations (10%)","Business finances & cashflow (20%), CRM / field software / digital workflows (20%), Hiring, payroll & staffing strategy (15%), Marketing, reviews & customer acquisition (15%), Niche selection & scope control (10%), Professional conduct / customer service (10%), Licenses, inspections & code awareness (10%)",104306.0,3060.0
5ZYE2Ko-y2Y,Pricing method for Electrical jobs / Most profitable method / Chicago (New Construction),https://www.youtube.com/watch?v=5ZYE2Ko-y2Y,"Accurately estimating and pricing a residential electrical new‑construction job so you don't underbid, while accounting for outlets/switches/lights, circuit requirements, and client changes.","Use the blueprint to label rooms and scale measurements, count outlets/switches/lights (openings) and required circuits, apply local code rules (Chicago kitchen/closet requirements), plan home‑runs and piping for easy wiring, total openings and circuits to calculate a high transparent price, present staged payments (rough-in / wiring / finish) and allow clients to add/subtract items which update the price.","Planning (40%), Wiring (35%), Codes & Regulations (15%), Education (10%)","Estimating & takeoff from blueprints (40%), Residential circuit/outlet layout and installation practice (35%), Chicago-specific circuit requirements and inspection stages (15%), Pricing method, payment staging and client communication (10%)",12753.0,236.0
OIO3hKyN7ko,Electrical Hand Tools | Most Important Electrician Tools,https://www.youtube.com/watch?v=OIO3hKyN7ko,"The transcript contains only music and a single non-contextual word (""do""), so there is no identifiable electrical engineering problem to analyze.","No technical solution can be extracted; request a clearer, content-rich transcript or original audio with spoken technical content to enable classification and extraction.",Undefined (100%),Insufficient information / No technical content (100%),250947.0,3137.0
QKm9xfiKF_0,Cut in electrical box tip. #electrician #diy #construction #apprentice,https://www.youtube.com/watch?v=QKm9xfiKF_0,"Boxes are difficult to install in the wall when wires enter from both the bottom and the top, making insertion cumbersome.",Adjust wire lengths by looping wires up and bringing all conductors in through the top so the box can slide into the wall opening easily.,"Wiring (70%), Planning (30%)","Wire routing/management (50%), Box installation technique (30%), Cable length/preparation (20%)",186445.0,1784.0
zu343J92AB4,I’m giving yall some tips ! #electrician #electrical #construction #work #trades #explorepage #skill,https://www.youtube.com/watch?v=zu343J92AB4,"The provided transcript contains only the single word ""for"" and is insufficient to identify any electrical engineering problem.","Cannot classify or extract problem/solution from the given text; request the full/complete transcript or additional context (full conversation, equipment, location, actions) to proceed.",Undefined (100%),Insufficient information / Incomplete transcript (100%),9077.0,30.0
jPC4hiVe_3w,Must have tool for electrical work #shorts #electric #electrical #electrician #construction #diy,https://www.youtube.com/watch?v=jPC4hiVe_3w,Identifying which circuit breaker controls a specific outlet or light so the circuit can be safely de-energized for renovations or electrical work.,"Use a Klein Tools plug-in circuit tracer/breaker finder—plug the receiver into the outlet, go to the breaker panel and toggle breakers until the unit indicates the correct circuit is off; the device also stores in the back for easy storage.","Tools (50%), Safety (35%), Education (15%)","Circuit tracer / Breaker finder (40%), Tool storage/accessory (10%), Confirming de-energized circuit / lockout practice (25%), Verifying power off via indicator (10%), Demonstration / user instruction (15%)",344186.0,7079.0
XF5ywqE8QWc,What I do when I’m about to start testing an electrical control panel #electrical  #controlpanel,https://www.youtube.com/watch?v=XF5ywqE8QWc,Ensuring equipment/circuit is safely isolated before work to prevent electrical shock or accidental energization.,De-energize the circuit by turning all breakers to the off position and unplugging the equipment; verify isolation before proceeding (lockout/tagout where applicable).,"Safety (80%), Education (20%)","Isolation / Lockout-Tagout (80%), De-energization verification & training (20%)",134745.0,2245.0
sABC22e8cgg,The Power of Prefabrication: Streamlining Electrical Construction Processes and Timelines,https://www.youtube.com/watch?v=sABC22e8cgg,On-site electrical installation is time-consuming and exposes crews to safety risks on projects like apartment complexes.,Use prefabrication/off-site construction for electrical work—assemble and test components off-site so crews install them more quickly and with fewer on-site hazards (demonstrated on a Seattle apartment project).,"Planning (40%), Safety (35%), Wiring (25%)","Prefabrication / Off-site construction planning (40%), Crew safety / reduced on-site hazards (35%), Electrical prefabrication & installation efficiency (25%)",108619.0,6.0
-cuW5q7dJ1A,8 Amazing Electrical Life Hacks | Tips &amp; Tricks,https://www.youtube.com/watch?v=-cuW5q7dJ1A,"The provided transcript contains only non-informative audio cues (music, applause) and a short fragment; no engineering problem or content is present to analyze.","Unable to extract a technical problem or solution from this transcript. Recommend providing a full, speech-containing transcript or audio with contextual content so the issue can be identified and classified.",Undefined (100%),Transcript quality / Insufficient content (100%),29200288.0,425592.0
0IITBoJUewU,Electrical Construction,https://www.youtube.com/watch?v=0IITBoJUewU,"Leading a lineman crew to stay safe, productive, and coordinated while handling variable daily tasks (pole changes, outages, special jobs) and managing logistics/priorities.","Pre-job planning and materials staging, mapping the work, clear communication and crew briefings to keep everyone on the same page, prioritizing outages, enforcing safe work practices, and mentoring/team development to build capability.","Planning (40%), Safety (30%), Education (20%), Tools (10%)","Job planning & logistics (30%), Materials & equipment staging (10%), Crew coordination & safety briefings (15%), Safe work practices (15%), Career development & mentoring (12%), On-the-job training (8%), Equipment/use for pole work (10%)",298.0,4.0
2ab2GO8N5_8,Electrical issues on a new construction home. #thataintright #homeinspections #fyp #viral,https://www.youtube.com/watch?v=2ab2GO8N5_8,"New-construction electrical panel has multiple code and safety issues: required AFCI breakers are missing, a 40 A breaker is fed with undersized 10 AWG conductor (should be 8 AWG), the 40 A breaker is tripped, and a grounding rod is not driven deep enough and is loose.","Corrective repairs and code compliance: install required AFCI breakers, replace or re-run the conductor to 8 AWG for the 40 A circuit (or change the breaker to match a properly sized conductor if appropriate), properly drive and clamp the grounding rod to required depth and bond it, then test/reset breakers and verify with inspection.","Codes & Regulations (40%), Wiring (35%), Safety (25%)","AFCI/NEC compliance (40%), Conductor sizing/circuit protection (35%), Grounding/grounding electrode installation (25%)",53394.0,3138.0
ynkYBd1GhjI,Did you know this about switches? #shorts #construction #diy #electrical #tips,https://www.youtube.com/watch?v=ynkYBd1GhjI,DIYers often don't know how much insulation to remove for a proper loop around a switch screw and may install the switch upside down.,Use the strip gauge stamped on the back of the switch to strip the exact amount of insulation for a perfect loop and follow the orientation marking on the switch to avoid installing it upside down.,"Wiring (50%), Tools (30%), Education (20%)","Insulation stripping / strip gauge usage (30%), Wire loop termination around screw (20%), Switch orientation / correct installation (20%), DIY tips / video instruction (30%)",16992.0,696.0
